"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.8","1020.1","1023.5","2011/01/30 09:21:00","1010.3","2011/01/14 14:35:00","15.4","23.7","2011/01/27 13:37:00","9.4","2011/01/12 04:00:00","10.6","4.5","10","21.6","360","2011/01/15 12:52:00","6.7","7.5","4","1.5","2011/01/06 06:26:00","2.0","2011/01/06 06:01:00","2.5","2011/01/21 00:00:00","74","113.5","355.84","4","5","2011/01/27 13:00:00","6.8"
"02","1013.8","1016.9","1020.5","2011/02/01 08:27:00","1004.1","2011/02/08 15:37:00","17.9","28.5","2011/02/28 14:02:00","10.1","2011/02/15 01:54:00","12.8","3.3","10","17.2","360","2011/02/14 07:51:00","7.7","4.8","4","1.0","2011/02/14 03:00:00","2.5","2011/02/14 02:10:00","5.5","2011/02/14 00:00:00","73","186.5","456.81","5","7","2011/02/28 13:00:00","3.7"
"03","1015.3","1018.5","1020.5","2011/03/17 08:55:00","1007.6","2011/03/20 15:23:00","19.2","29.6","2011/03/20 12:03:00","11.9","2011/03/28 00:43:00","13.1","3.4","10","19.3","20","2011/03/07 11:24:00","4.7","12.1","3","0.5","2011/03/28 00:26:00","1.0","2011/03/28 01:21:00","2.2","2011/03/28 00:00:00","68","135.5","483.19","5","8","2011/03/20 13:00:00","6.5"
"04","1011.5","1014.7","1018.4","2011/04/09 09:02:00","1004.4","2011/04/17 16:24:00","23.9","30.3","2011/04/27 11:19:00","15.0","2011/04/05 01:19:00","17.1","2.6","20","12.5","180","2011/04/30 15:12:00","26.0","4.6","3","12.0","2011/04/17 21:23:00","20.0","2011/04/17 21:20:00","23.0","2011/04/17 00:00:00","66","187.4","595.90","6","9","2011/04/26 13:00:00","4.8"
"05","1007.1","1010.2","1013.2","2011/05/15 08:58:00","996.0","2011/05/28 03:29:00","26.7","33.8","2011/05/09 12:20:00","20.4","2011/05/17 12:13:00","21.2","2.6","360","17.5","10","2011/05/28 13:51:00","55.2","26.9","5","9.5","2011/05/23 13:21:00","18.0","2011/05/23 13:00:00","28.5","2011/05/23 00:00:00","72","167.7","585.41","7","10","2011/05/05 12:00:00","5.6"
"06","1004.9","1007.9","1009.9","2011/06/30 21:47:00","991.8","2011/06/24 17:09:00","29.1","35.4","2011/06/20 11:14:00","23.4","2011/06/28 11:50:00","23.5","3.0","180","18.9","190","2011/06/10 13:02:00","304.0","43.6","9","15.0","2011/06/23 13:37:00","52.0","2011/06/23 13:12:00","166.0","2011/06/28 00:00:00","72","220.6","619.56","9","11","2011/06/27 13:00:00","5.6"
"07","1003.9","1007.0","1009.6","2011/07/01 07:48:00","996.3","2011/07/18 16:48:00","28.7","34.7","2011/07/29 11:13:00","24.0","2011/07/14 21:48:00","23.9","2.7","130","18.5","200","2011/07/15 16:22:00","401.5","74.1","13","14.5","2011/07/29 16:04:00","38.0","2011/07/29 16:01:00","78.0","2011/07/17 00:00:00","76","202.2","612.75","9","11","2011/07/24 13:00:00","5.7"
"08","1003.8","1006.8","1011.2","2011/08/15 09:36:00","985.6","2011/08/29 05:25:00","29.5","35.4","2011/08/27 12:32:00","24.7","2011/08/31 08:00:00","23.8","3.1","190","21.3","220","2011/08/29 16:33:00","172.3","58.0","10","6.5","2011/08/29 12:16:00","19.5","2011/08/29 11:57:00","82.3","2011/08/29 00:00:00","72","224.3","619.10","8","11","2011/08/08 12:00:00","4.9"
"09","1005.9","1009.0","1011.0","2011/09/09 22:08:00","999.2","2011/09/01 03:22:00","28.8","34.0","2011/09/30 13:49:00","22.9","2011/09/22 06:09:00","22.6","2.0","20","11.6","340","2011/09/30 15:33:00","5.0","3.5","2","1.0","2011/09/28 10:29:00","3.0","2011/09/28 10:09:00","3.5","2011/09/28 00:00:00","70","180.4","556.76","6","9","2011/09/11 12:00:00","5.0"
"10","1010.5","1013.6","1015.3","2011/10/27 09:26:00","1003.1","2011/10/02 04:11:00","26.2","32.2","2011/10/10 13:17:00","20.6","2011/10/27 05:45:00","20.7","2.3","10","10.9","360","2011/10/03 07:21:00","27.8","22.9","7","1.5","2011/10/14 18:26:00","7.0","2011/10/14 18:20:00","22.0","2011/10/14 00:00:00","72","165.2","464.28","5","9","2011/10/03 12:00:00","5.5"
"11","1012.1","1015.2","1019.7","2011/11/21 08:42:00","1003.1","2011/11/10 03:35:00","24.1","32.2","2011/11/05 13:08:00","18.2","2011/11/24 06:37:00","20.0","2.3","10","11.6","180","2011/11/18 13:18:00","203.5","64.7","9","9.0","2011/11/10 12:54:00","25.0","2011/11/10 12:37:00","119.5","2011/11/10 00:00:00","79","97.2","309.11","4","6","2011/11/19 11:00:00","6.9"
"12","1016.0","1019.2","1022.5","2011/12/27 08:48:00","1008.7","2011/12/01 14:55:00","18.4","28.1","2011/12/06 14:27:00","11.5","2011/12/25 01:00:00","13.9","4.0","10","16.3","10","2011/12/02 10:05:00","4.4","9.0","3","0.5","2011/12/13 10:33:00","2.5","2011/12/12 19:37:00","3.0","2011/12/12 00:00:00","75","92.7","308.22","4","5","2011/12/06 12:00:00","7.1"